2.19	1.03	0.03	1	0.68	2.19	2	21
-2.37	-5.35	-6.56	2	0.78	-2.37	2	22
1.33	1.46	5.48	3	0.66	5.48	2	21
-7.18	-1.00	-2.63	4	0.58	-1.00	3	32
1.28	3.54	1.82	5	0.53	3.54	3	31
5.08	5.16	4.62	6	0.35	5.16	1	11
-4.18	-5.35	-3.20	7	0.65	-3.20	2	22
1.91	0.20	0.83	8	0.65	1.91	2	21
6.10	5.54	5.77	9	0.35	6.10	1	11
6.45	6.37	6.35	10	0.34	6.45	1	11
-4.85	-1.10	-1.86	11	0.56	-1.10	3	32
7.61	7.08	7.61	12	0.34	7.61	1	11
-3.01	-3.23	-4.47	13	0.54	-3.01	3	32
-0.70	-3.35	-4.16	14	0.81	-0.70	2	22
0.94	-1.85	-2.53	15	0.83	0.94	2	21
-4.18	-0.03	0.09	16	0.51	0.09	3	31
-0.45	-0.87	-1.67	17	0.60	-0.45	2	22
-2.09	-1.20	-3.56	18	0.62	-1.20	2	22
2.81	3.25	1.55	19	0.43	3.25	3	31
5.97	5.83	5.82	20	0.34	5.97	1	11
2.48	3.04	2.69	21	0.37	3.04	1	11
5.60	5.26	4.57	22	0.36	5.60	1	11
-0.70	-7.08	2.18	23	0.59	2.18	3	31
3.39	4.21	4.46	24	0.37	4.46	1	11
4.34	6.89	3.61	25	0.46	6.89	3	31
6.75	6.39	6.63	26	0.34	6.75	1	11
1.94	3.03	2.56	27	0.40	3.03	3	31
7.10	6.88	7.12	28	0.34	7.12	1	11
-7.33	-1.80	-8.71	29	0.83	-1.80	2	22
2.44	2.14	1.98	30	0.37	2.44	1	11
2.75	-1.26	-1.54	31	0.94	2.76	2	21
0.37	0.47	-1.96	32	0.51	0.47	3	31
-7.33	1.50	-2.80	33	0.66	1.50	2	21
3.69	2.90	3.74	34	0.36	3.74	1	11
5.77	5.60	6.12	35	0.35	6.12	1	11
6.13	5.59	5.55	36	0.35	6.13	1	11
4.96	4.79	5.19	37	0.35	5.19	1	11
4.98	4.82	5.03	38	0.34	5.03	1	11
2.41	4.13	3.28	39	0.42	4.13	3	31
-7.33	-1.18	-1.08	40	0.50	-1.08	3	32
-2.27	1.14	-2.60	41	0.92	1.14	2	21
1.23	3.47	3.46	42	0.43	3.47	3	31
5.88	5.74	5.93	43	0.34	5.93	1	11
3.66	6.34	2.48	44	0.51	6.34	3	31
-7.33	-1.93	-7.56	45	0.96	-1.93	2	22
3.42	4.12	4.28	46	0.36	4.28	1	11
3.15	3.25	2.69	47	0.36	3.25	1	11
-2.37	2.13	0.99	48	0.57	2.13	3	31
-4.37	-7.08	-5.39	49	0.62	-4.37	2	22
1.69	3.51	2.17	50	0.48	3.51	3	31
-1.18	-3.35	-3.56	51	0.92	-1.17	2	22
-3.09	-0.38	-1.22	52	0.59	-0.38	3	32
-1.89	-7.08	-1.83	53	0.50	-1.83	3	32
-0.33	-4.61	-3.13	54	0.74	-0.33	2	22
2.99	3.02	4.81	55	0.44	4.81	3	31
4.07	4.84	5.17	56	0.37	5.17	1	11
1.39	-0.39	3.41	57	0.68	3.41	2	21
3.71	4.76	4.39	58	0.37	4.76	1	11
4.94	4.50	4.81	59	0.35	4.94	1	11
3.61	3.96	4.03	60	0.35	4.03	1	11
2.38	1.73	4.00	61	0.49	4.00	3	31
-4.37	-4.35	-8.71	62	0.50	-4.35	3	32
-6.18	-7.08	-3.35	63	0.80	-3.35	2	22
-2.78	-4.35	1.25	64	0.78	1.25	2	21
0.30	2.58	1.17	65	0.64	2.58	2	21
-0.43	5.68	-1.32	66	0.89	5.68	2	21
0.11	7.66	-0.58	67	0.92	7.66	2	21
1.37	3.66	-0.66	68	0.68	3.66	2	21
-1.01	0.83	4.66	69	0.76	4.66	2	21
-3.85	-7.08	-4.86	70	0.59	-3.85	3	32
-7.33	-7.08	-8.71	71	0.54	-7.08	3	32
0.34	2.91	2.07	72	0.55	2.91	3	31
4.10	4.23	4.28	73	0.34	4.28	1	11
2.52	3.25	2.68	74	0.38	3.25	1	11
-7.33	-5.35	-2.25	75	0.72	-2.25	2	22
5.00	4.44	5.17	76	0.35	5.17	1	11
4.60	4.60	3.19	77	0.37	4.60	1	11
4.59	4.31	5.64	78	0.39	5.64	1	11
4.55	4.63	3.92	79	0.35	4.63	1	11
-0.32	1.13	-1.52	80	0.69	1.13	2	21
-2.22	-1.65	-2.86	81	0.66	-1.65	2	22
6.36	6.22	6.43	82	0.34	6.43	1	11
0.62	4.22	1.14	83	0.71	4.22	2	21
1.55	1.36	2.85	84	0.49	2.85	3	31
2.70	4.22	2.60	85	0.44	4.22	3	31
-0.31	4.50	5.88	86	0.56	5.88	3	31
-0.64	3.38	3.69	87	0.52	3.69	3	31
1.53	1.77	2.56	88	0.44	2.56	3	31
-5.59	-3.35	-1.18	89	0.66	-1.18	2	22
-0.73	-0.44	-0.35	90	0.57	-0.35	3	32
0.56	2.50	1.31	91	0.57	2.50	3	31
2.88	-0.54	5.61	92	0.64	5.61	2	21
-7.33	-7.08	-8.71	93	0.54	-7.08	3	32
8.26	8.16	8.26	94	0.33	8.26	1	11
1.81	-2.76	0.19	95	0.61	1.81	2	21
1.92	1.86	1.82	96	0.34	1.92	1	11
-0.89	4.61	-1.83	97	0.87	4.61	2	21
-7.33	3.15	-3.80	98	0.75	3.15	2	21
-7.18	-4.35	-8.71	99	0.74	-4.35	2	22
5.36	5.18	5.77	100	0.35	5.77	1	11
6.38	7.53	6.39	101	0.37	7.53	1	11
6.06	6.32	6.55	102	0.35	6.55	1	11
4.05	1.92	4.92	103	0.45	4.92	3	31
-7.33	-7.08	-2.70	104	0.95	-2.70	2	22
-7.18	-7.08	-2.31	105	0.98	-2.31	2	22
-5.18	-7.08	-8.71	106	0.68	-5.17	2	22
-7.33	-7.08	-2.08	107	0.96	-2.08	2	22
-0.99	0.38	-0.15	108	0.62	0.38	2	21
2.44	3.36	4.05	109	0.41	4.05	3	31
-1.03	-0.30	-1.06	110	0.95	-0.30	2	22
5.13	5.33	5.36	111	0.34	5.36	1	11
-7.18	-4.93	-8.56	112	0.72	-4.93	2	22
-0.18	-0.59	-0.89	113	0.70	-0.17	2	22
0.24	-1.51	-4.23	114	0.62	0.24	2	21
2.59	3.51	2.88	115	0.39	3.51	1	11
6.52	6.46	6.78	116	0.34	6.78	1	11
0.77	3.52	2.46	117	0.52	3.52	3	31
4.89	4.47	4.20	118	0.36	4.89	1	11
-0.33	-0.27	-0.26	119	0.56	-0.26	3	32
2.41	1.19	2.41	120	0.40	2.41	3	31
3.04	4.16	2.37	121	0.43	4.16	3	31
